epoch 0, loss_tr=6.518294 err_tr=0.991797
epoch 1, loss_tr=5.427333 err_tr=0.985469
epoch 2, loss_tr=5.296339 err_tr=0.983984
epoch 3, loss_tr=5.169717 err_tr=0.973047
epoch 4, loss_tr=5.050015 err_tr=0.967578
epoch 5, loss_tr=4.978112 err_tr=0.962422
epoch 6, loss_tr=4.847060 err_tr=0.949609
epoch 7, loss_tr=4.730318 err_tr=0.945078
epoch 8, loss_tr=4.588024 err_tr=0.931875
epoch 9, loss_tr=4.430397 err_tr=0.920859
epoch 10, loss_tr=4.305618 err_tr=0.905937
epoch 11, loss_tr=4.213427 err_tr=0.889844
epoch 12, loss_tr=4.120204 err_tr=0.877656
epoch 13, loss_tr=4.025349 err_tr=0.866328
epoch 14, loss_tr=3.964603 err_tr=0.860391
epoch 15, loss_tr=3.880570 err_tr=0.848125
epoch 16, loss_tr=3.852363 err_tr=0.839922
epoch 17, loss_tr=3.762074 err_tr=0.829297
epoch 18, loss_tr=3.703295 err_tr=0.823906
epoch 19, loss_tr=3.625069 err_tr=0.806797
epoch 20, loss_tr=3.565045 err_tr=0.801953
epoch 21, loss_tr=3.526164 err_tr=0.790391
epoch 22, loss_tr=3.474188 err_tr=0.786172
epoch 23, loss_tr=3.410156 err_tr=0.772031
epoch 24, loss_tr=3.385324 err_tr=0.759531
epoch 25, loss_tr=3.328780 err_tr=0.762578
epoch 26, loss_tr=3.260399 err_tr=0.743594
epoch 27, loss_tr=3.243356 err_tr=0.745781
epoch 28, loss_tr=3.184410 err_tr=0.735000
epoch 29, loss_tr=3.138360 err_tr=0.728047
epoch 30, loss_tr=3.096966 err_tr=0.716953
epoch 31, loss_tr=3.055624 err_tr=0.715547
epoch 32, loss_tr=2.994016 err_tr=0.692734
epoch 33, loss_tr=2.966256 err_tr=0.689219
epoch 34, loss_tr=2.920157 err_tr=0.686094
epoch 35, loss_tr=2.861802 err_tr=0.672109
epoch 36, loss_tr=2.813491 err_tr=0.663984
epoch 37, loss_tr=2.797110 err_tr=0.667578
epoch 38, loss_tr=2.783603 err_tr=0.661797
epoch 39, loss_tr=2.752707 err_tr=0.658594
epoch 40, loss_tr=2.687711 err_tr=0.638203
epoch 41, loss_tr=2.624099 err_tr=0.627344
epoch 42, loss_tr=2.629256 err_tr=0.631406
epoch 43, loss_tr=2.600149 err_tr=0.627656
epoch 44, loss_tr=2.562012 err_tr=0.615469
epoch 45, loss_tr=2.527824 err_tr=0.605234
epoch 46, loss_tr=2.487630 err_tr=0.605000
epoch 47, loss_tr=2.471235 err_tr=0.599766
epoch 48, loss_tr=2.442821 err_tr=0.591563
epoch 49, loss_tr=2.426902 err_tr=0.591875
epoch 50, loss_tr=2.383360 err_tr=0.584141
epoch 51, loss_tr=2.336893 err_tr=0.571328 loss_te=5.954544 err_te=0.781858 err_te_snt=0.358230
epoch 52, loss_tr=2.287998 err_tr=0.562891 loss_te=5.877953 err_te=0.783704 err_te_snt=0.370695
epoch 53, loss_tr=2.248034 err_tr=0.551016 loss_te=5.887849 err_te=0.769565 err_te_snt=0.356027
